linker,semfield1_ed,id,source,parts.num,parts.order,parts.order.example,linker_position,linker_position_exclusivity,position.example,mainpart,correl,correl.oblig,correl.oblig.example,comp.oblig,comment,public_comments,correl.position,correl.position.example,clause.order,clause.order.example,clause order comments,dep.clause.type,expansion,indep.sentence,indep.sentence.example,inferential.example,illoc example,metatext example,phonvar,pos,pos.type,meaning,style,example,other_senses,other_pos,subfield1_ed,semfield2_ed,subfield2_ed,sem_comment,inside_info,developer
скажем,переформулирование,1880,АГ-80,mono,NA,,initial,predominantly,,скажем,NA,NA,,NA,,,NA,,postposition,,,финитная,,нет,NA,,,"Что касается каузальной связи между различными психическими явлениями — то она бесспорно существует, скажем, одно психическое явление способно вызвать другое. [НКРЯ]",NA,вводное слово,NA,включение,NA,"Что касается каузальной связи между различными психическими явлениями — то она бесспорно существует, скажем, одно психическое явление способно вызвать другое.  [В. Н. Комаров. Тайны пространства и времени (1995-2000)] GOOD",NA,NA,NA,NA,NA,NA,NA,Аня Д
скорее,заместительные отношения,1896,АГ-80,mono,NA,,initial,predominantly,,скорее,"чем, нежели",нет,"Скорее небо обрушится на землю, и Дунай потечёт вверх, чем сдастся Измаил. (НКРЯ) GOOD; Скорее, бизнесмен подарит его своей любовнице, нежели молодая пара разопьет у себя дома. (видоизмененный пример из НКРЯ) GOOD",NA,,"Коррелят ""нежели"" стилистически маркирован.",initial,,postposition,,,финитная,,да,,,,"И только уборщица Оксана, <...>  с удивлением и едва уловимой тревогой посмотрела вслед Борису Глебовичу, который шел как-то неестественно: медленно и степенно. Он, скорее, шествовал… [НКРЯ]",NA,аналог союза,NA,"вернее', 'точнее говоря'",NA,"Поэтому возможность блокировки сервисов или ухода компаний из России маловероятна, скорее, компании попадут под действие закона «о приземлении» зарубежных интернет-платформ в России. (НКРЯ)",NA,наречие,NA,NA,NA,NA,NA,Аня Д
скорее,сравнение,1895,МАС,mono,NA,,initial,exclusively,,скорее,"чем, нежели",нет,"Скорее похож на отца, чем на мать. [БТС]; На разумного сильнее действует выговор, нежели на глупого сто ударов. [Притчи Соломона 17:10-14. bible.com]",NA,"один пример в correl.oblig.example не на ""скорее""","Коррелят ""нежели"" стилистически маркирован.",initial,,preposition,,,финитная,,нет,NA,,,Примеры не обнаружены,NA,наречие,NA,в предложениях со сравнительным оборотом,NA,"Она скорее согласилась бы умереть, чем поделиться властью с другой хозяйкой. (МАС)",NA,NA,компаратив,NA,NA,NA,NA,Аня Д
следовательно,следствие,1904; 1905; 1906; 1907; 1908; 1909; 1910; 1913,МАС; Морк; БТС; АГ-80; ЕФР,mono,NA,,free,,,следовательно,NA,NA,,NA,"в примерах есть линкер ""и""; в случае независимых предложений приведена только часть с линкером, а предшествующая пропозиция - нет",,NA,,postposition,,,финитная,,да,,,"Чекистские органы не подчинены нашей партийной организации, следовательно, кто за кем следит? [Видоизмененный пример из НКРЯ]",Примеры не обнаружены,NA,вводное слово; союз; аналог союза,NA,"таким образом, стало быть; для придания высказыванию значения вывода; присоединительный; следствия; поэтому, вследствие этого, значит; вывод; NA; стало быть; значит",NA,"Следовательно, путь освоенный - улыбнулся Лосев. (МАС); Мухин, следовательно, не пойдёт, так надо понимать его отказ? (Морк); Мухин был в пальто, следовательно, он собирался уходить. (Морк); Она дорожит вашей дружбой, и следовательно, не могла так поступить по отношению к вам. (Морк); Свет горит, следовательно родители ещё не спят. (БТС); Однако среди 11 показателей, по которым он рассчитывается, лишь три (демография, уровень здоровья и образования) непосредственно связаны с людьми, и, следовательно, их влияние на итоговый результат региона растворяется в экономических и инфраструктурных показателях. (НКРЯ); Следовательно, на такие виды работ не нужно получать лицензию. (НКРЯ)","NA; 1. таким образом, стало быть",NA; соотносительное слово; вводное слово; аналог союза,умозаключение; результат,NA,NA,NA,NA,Аня Д
следственно,следствие,1914; 1917,БТС; ЕФР,mono,NA,,free,,,следственно,NA,NA,,NA,"в примерах есть линкер ""и""",,NA,,postposition,,,финитная,,да,,,"Муж и сын, как полагается, офицеры австрийской армии, следственно, какие же тут могут быть разговоры?.. [Видоизмененный пример из НКРЯ]",Примеры не обнаружены,NA,союз,NA,"поэтому, вследствие этого, значит; стало быть; значит",стил,"Потребительские расходы продолжают снижаться и, следственно, экономика России в четвертом квартале может сократиться. (НКРЯ); По ее словам, в стране уже понимают механизм заражения инфекцией, следственно, знают, как с ней бороться. (НКРЯ)","1. таким образом, стало быть; NA",вводное слово; NA,умозаключение,NA,NA,NA,NA,Аня Д
словно,ПУ,1928,ЕФР,mono,NA,,initial,exclusively,,словно,NA,NA,,NA,"мне кажется, что в примере сравнение",,NA,,postposition,,,финитная,,нет,NA,,,Примеры не обнаружены,NA,союз,NA,сомнение в достоверности сообщаемого в придаточном предложении: будто,NA,"Суд взыскал с входящей в «Норникель» Норильско-Таймырской энергетической компании 146, 2 млрд руб. штрафа за экологические последствия аварии в Норильске, почти не изменив сумму иска, словно калькуляция изначально была сделана с математической точностью.",1. предположительность высказываемого: будто; как будто; словно бы; кажется,частица,восприятие; мнение,NA,NA,NA,NA,Аня Д
словно,сравнение,1919; 1920; 1921; 1922; 1923; 1924; 1925; 1926; 1927; 1929; 1930,МАС; Морк; Уш; БТС; АГ-80; ЕФР; ШЩ,mono,NA,,initial,exclusively,,словно,так; такой,нет,,NA,,Употребление коррелята в отдельном предложении не допускается.,free,,"preposition, postposition",,,финитная,,да,,,,Примеры не обнаружены,NA,союз; частица-союз,NA,"сравнительный; как; подобно тому, как..., подобно тому, как если бы...; как будто; как, точно; условно-предположительное сравнение: будто; как бы; сравнение: словно; точно; будто; как; как будто; сравнение",NA,"Мальчик что-то кричал вслед улетающему самолету, словно пассажиры могли его услышать. (Морк); Сегодня он такой приветливый, словно между нами и не было ссоры. (Морк); Словно вылитый в мать, темнорусый красавец сынишка. (Уш); Он не мог усидеть на месте, Словно его что подмывало. (Уш); Всё как Словно тебя подманивает али плывешь по морю. (Уш); <...> выглядит неподобающе телевизионно, словно это можно было бы спокойно показать на том же НТВ <...> (НКРЯ); Кроме того, что у нас в России судьи и суды, где они заседают, совершенно другие, «Ваша честь» еще и выглядит неподобающе телевизионно, словно это можно было бы спокойно показать на том же НТВ — а от стримингов сегодня все же ожидается более высокий уровень качества. (НКРЯ); Словно предвкушая это, во время карантина бренд Demeter, специализирующийся на ароматах-впечатлениях, выпустил совместно с платформой для онлайн-концертов Stay композиции «Прыжок в толпу», Oh My Rave и «Идем на концерт». (НКРЯ); На вопросы журналистов Калинин отвечать не стал, словно заранее знал, что скоро окажется на свободе. (НКРЯ); Выглядит так, словно после нажатия кнопки на экране появится что-то в высшей степени ужасное, кровавое, неприлично-аморальное. (НКРЯ)","NA; 1. неуверенность, предположительность высказывания; = как будто; 1. предположительность высказываемого: будто; как будто; словно бы; кажется",частица; NA; частица-союз; частица; союз; частица,симилятив,NA,NA,NA,NA,Аня Д
словно бы,сравнение,1931; 1932,АГ-80; ЕФР,poly,nobreak,,initial,exclusively,,словно бы,NA,NA,,NA,,,NA,,"preposition, postposition",,,финитная,,да,,,,Примеры не обнаружены,NA; словно б,союз,NA,NA; сравнение (которое не представляется достоверным): как бы; будто бы; как если бы; как будто бы,NA,"Угловатый, деланно-неумелый рисунок, вырвиглаз фовистский колорит, словно бы художник не научился смешивать краски, монструозные фигуры-пиктограммы и квазизаборные комментарии — этот граффити-стиль подворотни сохранился и в живописи 2000-х. (НКРЯ)","NA; 1. условность, мнимость чего-л. кажущегося: вроде бы; будто бы; как будто бы",NA; частица,симилятив,NA,NA,NA,NA,Аня Д
словом,мереология,1936,АГ-80,mono,NA,,initial,predominantly,,словом,NA,NA,,NA,,,NA,,postposition,,,финитная,,да,,,"У меня отросла борода, я запаршивел, не мылся и т.д., — словом, куда делся прежний аккуратный Эдик? [НКРЯ: А. А. Ботев. Кот Шредингера // «Волга», 2013]","Он написал хорошие монографии, разработал теорию появления новых признаков, их изменения, словом, он обрел немало заслуг. [Видоизмененный пример из НКРЯ]; Он болен, он занят, словом, свидание наше невозможно. [НКРЯ]",NA,вводное слово,NA,обобщение,NA,"Невероятный опыт, высокое мастерство, автомобиль, на который можно положиться, и верный штурман, которого понимаешь с полуслова, – словом, у Нассера Аль-Аттия есть все необходимое, чтобы стать победителем «Шелкового пути-2019». (НКРЯ)",NA,NA,генерализация,переформулирование,NA,NA,NA,Аня Д
собственно,мереология,1942,АГ-80,mono,NA,,free,,,собственно,NA,NA,,NA,,,NA,,postposition,,,финитная,,да,,,"Она пещком ходит; собственно, зачем пенсионерке машина? [Видоизмененный пример из НКРЯ]","Я с трудом нашла могилу Любы; собственно, я не нашла и уже уходила, но шли мужики-копатели, поддатые, добрые, они и показали место.  [НКРЯ]",NA,аналог союза,NA,именно,NA,"Кроме того, по мнению экспертов, новый КоАП не защищён от случайных изменений, на чём, собственно, и «погорел» старый КоАП. (НКРЯ)",NA,NA,конкретизация,NA,NA,NA,NA,Аня Д
собственно говоря,мереология,1944,АГ-80,poly,nobreak,,free,,,собственно говоря,NA,NA,,NA,,,NA,,postposition,,,финитная,,да,,,"Финал же пушкинского романа не только породил целую литературу, но и в известной степени определил судьбы и поиски русского романа XIX века... да и русского романа вообще в смысле соотношения Текста и Произведения. Собственно говоря, где он, этот финал? [НКРЯ: А. Ф. Седов. «Противоречий очень много...» // «Волга», 1999]","Каким образом я этого добьюсь, оставалось для меня самого полной загадкой.  Собственно говоря, об этом я вообще не думал, старался не думать — из чувства самосохранения... [НКРЯ]",NA,вводное сочетание слов,NA,NA,NA,"Создать оптимальные условия для поездок граждан Украины в Крым. Собственно говоря, такие же условия надо создавать и для приезда граждан Российской Федерации — крымчан — на Украину.",NA,NA,конкретизация,оговорка,NA,NA,NA,Аня Д
соответственно,следствие,1946,ЕФР,poly,nobreak,,initial,predominantly,,соответственно и,NA,NA,,NA,,,NA,,postposition,,,финитная,,да,,,,Примеры не обнаружены,NA,союз,NA,"сопоставление с предыдущими частями как равнозначные, равноценные (иногда усиливая или отграничивая каждый из них от другого): а равно и; как и; так же как и",NA,"Если доход был ниже, соответственно и размер пособия будет меньше. (НКРЯ)",NA,NA,NA,NA,NA,NA,NA,Аня Д
сразу как,таксис,,РусКон,poly,nobreak,,initial,predominantly,,сразу как,NA,NA,,NA,"Включен на основании просодического критерия, см. статью [Кобозева 2018]","По статистическим критериям свободное сочетание, однако просодически образует единое целое, см. [Кобозева 2018]",NA,,"preposition, postposition","Сразу как выходишь из метро, нужно повернуть налево (сконструированный пример)
Он будет справа, но одну башню видно прямо поверх домов, сразу как выходишь из метро. [НКРЯ: Дмитрий Глуховский. Метро 2033 (2005)]",,финитная,,да,,,,Примеры не обнаружены,NA,союз,NA,предшествование,NA,"Он будет справа, но одну башню видно прямо поверх домов, сразу как выходишь из метро. [НКРЯ: Дмитрий Глуховский. Метро 2033 (2005)]",NA,NA,предшествование,NA,NA,NA,NA,Аня Д
стало быть,следствие,1948; 1950,Морк; АГ-80,poly,nobreak,,initial,predominantly,,стало быть,NA,NA,,да,,,NA,,postposition,,,финитная,,да,,,"Первый метод сейчас явно невозможен, стало быть, что же остается: личные послания? [Видоизмененный пример из НКРЯ]",Примеры не обнаружены,NA,союз; вводное сочетание слов,NA,присоединительный; NA,NA,"Он ничего не сказал, стало быть, ему ничего не известно. (Морк); Речь идет, очевидно, о восстановлении этого государства, а стало быть, о коалиционном правительстве речи не идет. (НКРЯ)",NA,соотносительное слово; NA,умозаключение,NA; переформулирование,NA,NA,NA,Аня Д
судя по всему,следствие,556,Морк,poly,nobreak,,initial,predominantly,,судя по всему,NA,NA,,да,,,NA,,"preposition, postposition",,,финитная,,да,,,,Примеры не обнаружены,NA,вводное слово,NA,"высказываемое утверждение отражает хотя и не точное знание, но достоверное предположение",NA,"У них в окнах не горит свет; судя по всему, их нет дома. [Сконструированный пример]",NA,NA,умозаключение,NA,NA,NA,NA,Аня Д
судя по тому что,причина,1974; 1975,АГ-80; ЕФР,poly,nobreak,,initial,exclusively,,судя по тому что,NA,NA,,NA,,,NA,,free,"Судя по тому, что инфляция находится на достаточно серьезных уровнях — 5, 8%, она намного выше целевого показателя, ЦБ, очевидно, будет реагировать на эту ситуацию. (НКРЯ)
Обращаю внимание на то, что количество занятых в малом и среднем бизнесе, судя по тому, что я вижу в документах, увеличивается скромными темпами. (НКРЯ)",,финитная,,нет,,"За это время Добровольский, видимо, что-то хотел предпринять, судя по тому, что он сдернул с себя пристежные ремни. [НКРЯ: Б. Е. Черток. Ракеты и люди (1999)]","Судя по тому, что ты до сих пор не протрепался, ничего конкретного мне знать нельзя? [НКРЯ: Е. В. Колина. Дневник измены (2011)]",Примеры не обнаружены,NA,союз,NA,"NA; внешнее обстоятельство, дающее основание для вывода, заключенного в главной части",NA,"Судя по тому, что инфляция находится на достаточно серьезных уровнях — 5, 8%, она намного выше целевого показателя, ЦБ, очевидно, будет реагировать на эту ситуацию. (НКРЯ); Обращаю внимание на то, что количество занятых в малом и среднем бизнесе, судя по тому, что я вижу в документах, увеличивается скромными темпами. (НКРЯ)",NA,NA,обоснование,NA,NA,NA,NA,Аня Д
так,адверсатив,1977; 1983; 1986; 1991,МАС; Морк; БТС; ЕФР,mono,NA,,initial,exclusively,,так,NA,NA,,NA,,,NA,,postposition,,,финитная,,нет,,,,Примеры не обнаружены,NA,союз,NA,"в значении ""но, однако""; противительный; противопоставление; но, однако; но, да, однако (при соединении противопоставляемых предложений)",NA,"Давно мы уже дали слово друг другу, так батюшка ни за что не хочет за посполитого отдавать. (1898) (НКРЯ); Я ему говорил об этом, так он меня и слушать не стал. (Морк); Поехал бы, так денег нет. (БТС); Если российский профессор, пояснила она, поедет выступать на научной конференции за границу в рамках международного проекта, то «странно было бы считать такого человека иностранным агентом, так он всего лишь развивает научно-техническое или иное научное сотрудничество». (НКРЯ)","NA; 1. именно таким образом, не как-нибудь иначе 2. в таком состоянии, положении, виде и т.п. 3. без особенной причины, надобности, без определенной цели, намерения 4. в такой&#10;степени, до такой степени, настолько 5. без последствий, безрезультатно 6. без применения специальных средств, способов; без особых усилий 7. в таком случае, тогда 8. ничего особенного, о чем стоило бы говорить 9. следовательно, значит, стало быть 10. для подчёркивания, выделения при противопоставлении, сопоставлении 11. приблизительность 12. например, к примеру сказать; 1. именно таким образом, а не как-нибудь иначе 2. в таком виде, положении или состоянии, как есть 3. в такой мере, до такой степени; настолько 4. без особой надобности&#10;или цели, без особого намерения 5. бесплатно, даром 6. без применения каких-л. особых средств или способов 7. оценочная характеристика чего-л. как подлинного, верного 8. оценочная характеристика каких-л. качеств как средних, невысоких или действий как неосновательных, несерьезных 9. утвердительный ответ на вопрос: да, действительно 10. усиление полной удовлетворенности предметами, лицами, обозначенными словами, перед которыми стоит 11. подчеркивание выразительности слова, при котором стоит 12. усление внимания, интереса к словам собеседника 13. выделение или подчеркивание сопоставляемых или противопоставляемых слов 14. в начале вопросительного или восклицательного&#10;предложения: следовательно, значит, стало быть 15. конкретизирует или подтверждает ранее высказанную мысль: например; к примеру сказать 16. указание на приблизительность (количества чего-л. времени совершения чего-л. и т.п. 17. допущение чего-л.: хорошо; допустим, что это правда",в значении частицы; частица; наречие; соотносительное слово; наречие; частица; вводное слово; наречие; предикатив; частица,противительность,NA,NA,NA,NA,Аня Д
так,композиция текста,1992; 1995,МАС; ШЩ,mono,NA,,initial,exclusively,,так,NA,NA,,NA,,,NA,,postposition,,,финитная,,да,,,"То есть вы только крутанули регулятор на экране, а звук уже поменялся. Так почем нынче музыка для народа? [НКРЯ: В. А. Александр. Почем музыка для народа // «Столица», 1997.04.15]",Примеры не обнаружены,NA,частица,NA; метатекстовая,"Употребляется в начале реплики, возобновляющей прерванный разговор или возвращающей его к какой-л. теме.; возобновление прерванного рассуждения",NA,"Так вы придёте ко мне вниз на минуточку? (МАС); Наши расчеты не подтверждались. Промучились мы долго… Так мы, я продолжу, решили теперь сделать по-другому. (ШЩ)","NA; уклонение от ответа; удивление, что сообщаемое неожиданно для адресата; вопрос-напоминание; неожиданность предшествующего сообщения; внимание и положит. оценка; приблизительность",NA; наречие,смена топика; возврат к прежнему топику,NA,NA,NA,NA,Аня Д
так,мереология,1980; 1984; 1993,МАС; Морк; ШЩ,mono,NA,,initial,exclusively,,так,NA,NA,,NA,,,NA,,postposition,,,финитная,,да,,,"Мухин не раз высказывался против такого подхода: так, помните ли вы, что десять назад в одном из журналов он опубликовал на эту тему большую статью? [Сконструированный пример]",Примеры не обнаружены,NA,частица; вводное слово,NA; модальная,"в значении ""например""; в начале предложения, которое служит иллюстрацией к сказанному ранее; неполноценность описываемого (вводит коммент. высказывание)",NA,"Так вы придёте ко мне вниз на минуточку? (МАС); Мухин не раз высказывался против такого подхода. Так, ещё лет десять назад в одном из журналов он опубликовал на эту тему большую статью. (Морк); Мы с ней не дружим - так, перекинемся иногда несколькими словами. (ШЩ)","в начале вопросительной или восклицательной реплики как указание на вывод из предшествующего; усилительная; выделительная; ограничительная; NA; уклонение от ответа; удивление, что сообщаемое неожиданно для адресата; вопрос-напоминание; неожиданность предшествующего сообщения; внимание и положит. оценка; приблизительность",в значении частицы; частица; наречие; соотносительное слово; наречие,конкретизация; исключение,NA,NA,NA,NA,Аня Д
так,следствие,1976; 1979; 1981; 1982; 1985; 1987; 1988; 1989; 1990; 1994,МАС; Морк; БТС; АГ-80; ЕФР; ШЩ,mono,NA,,initial,exclusively,,так,NA,NA,,NA,,,NA,,postposition,,,финитная,,да,,,"Ты не в тот день родился, так чего же ты ноешь? [НКРЯ: Олег Павлов. Карагандинские девятины, или Повесть последних дней // «Октябрь», 2001]",Примеры не обнаружены,NA,союз; наречие; аналог союза; частица-союз; частица,NA; метатекстовая,"вследствие этого, поэтому; в начале предложений, содержащих заключение к сказанному ранее в значении: в таком случае, тогда; следствия; присоединительный; вследствие этого, потому, в связи с этим; значение следствия; условные отношения; значит, тогда (в начале предложения, являющегося выводом или заключением из предыдущего); в таком случае, поэтому, в связи с этим, вследствие этого (в начале реплики); вывод",NA,"У меня гости, так я ими и занимаюсь. (БТС); Так - уйдите. Разве я вас держу? (МАС); Книга эта очень ценная, так ты её береги. (Морк); У меня на столе лежат два журнала, так ты возьми тот, что справа. (Морк); Мы все учились понемногу чему-нибудь и как-нибудь, так воспитаньем, слава богу, у нас немудрено блеснуть. (АГ-80); Говорить, так говори; Обедать, так садитесь; Был бы снежок, так скатаем комок.; Американский производитель электрокаров Tesla отзовет около 475 000 автомобилей из-за возможных технических дефектов <…>.Так, будут отозваны все 356 000 Model 3, выпущенные с 2017 по 2020 г. (НКРЯ); Мэр Москвы объявил о начале сезонной эпидемии гриппа. Так, в университетах возобновили контроль за температурой студентов. (констр); Вы не нашли его? Так сыскать его немедленно! (ШЩ)","NA; образ действия; в таком состоянии, как есть; без особенной причины, надобности; обозначает высокую меру проявления качества; действительно, подлинно, верно; 1. именно таким образом, не как-нибудь иначе 2. в таком состоянии, положении, виде и т.п. 3. без особенной причины, надобности, без определенной цели, намерения 4. в такой&#10;степени, до такой степени, настолько 5. без последствий, безрезультатно 6. без применения специальных средств, способов; без особых усилий 7. в таком случае, тогда 8. ничего особенного, о чем стоило бы говорить 9. следовательно, значит, стало быть 10. для подчёркивания, выделения при противопоставлении, сопоставлении 11. приблизительность 12. например, к примеру сказать; 1. именно таким образом, а не как-нибудь иначе 2. в таком виде, положении или состоянии, как есть 3. в такой мере, до такой степени; настолько 4. без особой надобности&#10;или цели, без особого намерения 5. бесплатно, даром 6. без применения каких-л. особых средств или способов 7. оценочная характеристика чего-л. как подлинного, верного 8. оценочная характеристика каких-л. качеств как средних, невысоких или действий как неосновательных, несерьезных 9. утвердительный ответ на вопрос: да, действительно 10. усиление полной удовлетворенности предметами, лицами, обозначенными словами, перед которыми стоит 11. подчеркивание выразительности слова, при котором стоит 12. усление внимания, интереса к словам собеседника 13. выделение или подчеркивание сопоставляемых или противопоставляемых слов 14. в начале вопросительного или восклицательного&#10;предложения: следовательно, значит, стало быть 15. конкретизирует или подтверждает ранее высказанную мысль: например; к примеру сказать 16. указание на приблизительность (количества чего-л. времени совершения чего-л. и т.п. 17. допущение чего-л.: хорошо; допустим, что это правда; уклонение от ответа; удивление, что сообщаемое неожиданно для адресата; вопрос-напоминание; неожиданность предшествующего сообщения; внимание и положит. оценка; приблизительность",в значении частицы; частица; наречие; соотносительное слово; наречие; частица; вводное слово; частица; частица-союз; союз; частица; наречие; предикатив; частица; наречие,результат; умозаключение; результат; умозаключение,NA; конъюнкция,NA; присоединение; умозаключение,NA,NA,Аня Д
так же как,сравнение,1999; 2000,ЕФР,poly,nobreak,,initial,exclusively,,так же как,NA,NA,,NA,"оба примера - на также, а не на так же как",,NA,,free,,,финитная,,нет,,,,Примеры не обнаружены,NA,союз,NA,сравнение; сопоставление: как и; равно как; равно как и; так же; так же как и,NA,"Но большинство россиян считают, что персональные данные — это лишь основная информация о них, так же думают и в администрациях некоторых интернет-ресурсов и поэтому не удаляют сведения по запросу пользователя.  (НКРЯ); В пострадавших отраслях, где представлены в основном предприятия малого и среднего бизнеса, — так же, как мы это делали весной прошлого года, — осуществить единовременную выплату грантов в объёме одного МРОТ на одного занятого. (НКРЯ)",NA,NA,экватив,NA,NA,NA,NA,Аня Д
так как,причина,2004; 2005; 2006; 2007; 2009,Морк; БТС; АГ-80; ЕФР,poly,nobreak,,initial,exclusively,,так как,то,нет,,да,,"Коррелят может быть усилен с помощью ""следовательно"" и под.; используются тж. в отсутствии коррелята. При постпозиции клаузы с коннектором употребление коррелята не допускается.",initial,,free,,,финитная,,нет,,"Так как подобная проблема реально существует, стало быть, она должна изучаться современной наукой. [Видоизмененный пример из НКРЯ] — NB. Сочетание так как... стало быть выделяется в АГ-80 как отдельное союзное соединение.","Так как этого все равно никому не миновать — чего же тут особенно страшиться? [Видоизмененный пример из НКРЯ]; Меня соответственно это не устроило, так как почему я должна платить вдвое больше? [Google]; Так как вопрос, что делать, в данном случае ясен, то — кому платить? [Видоизмененный пример из НКРЯ]",Примеры не обнаружены,NA,союз; в зн. союза,NA,"причинный; NA; причинные отношения; причина, обоснование или предпосылка того, о чем говорится в главной части: потому что; в связи с тем что; поскольку",NA,"Необходимо принять меры предосторожности, так как на море ожидается сильный шторм.; Ушёл, так как устал. (БТС); В самом Афганистане тяжелая гуманитарная ситуация, так как почти все госрезервы заморожены США. (НКРЯ); Он очень устал, так как приходилось идти целый день. (Морк)",NA; побуждение к ответу: ну как; так как же; ну так как; ну так как же,NA; частица,собственно причина; NA,NA,NA,NA,NA,Аня Д
так что,следствие,2011; 2012; 2013; 2014,МАС; БТС; АГ-80; ЕФР,poly,nobreak,,initial,exclusively,,так что,NA,NA,,да,,,NA,,postposition,,,финитная,,да,,,"Насколько я знаю, в районе полуночи никто не родился — так что какое нам об этого дело? [НКРЯ: Оксана Ефремова. Забракованный патриот // «Волга», 2009]",Примеры не обнаружены,NA,сложный союз; в зн. союза; союз,NA,"следствия; NA; значение следствия; непосредственный результат, вытекающий из действия главной части: вследствие чего; поэтому",NA,"Времени много, так что успеете. (БТС); Но 2021 год оказался тоже не так прост, так что даже условия эпидемии отходили на задний план. (НКРЯ)",NA,NA,результат; результат; умозаключение,NA,NA,NA,NA,Аня Д
так чтобы,цель,2015; 2016; 2017,МАС; БТС; АГ-80,poly,nobreak,,initial,exclusively,,так чтобы,NA,NA,,так не обяз.,,,NA,,postposition,,,финитная,,нет,,,,Примеры не обнаружены,NA; так чтоб,сложный союз; союз,NA,цели; цель; значение цели,NA,"Ранее Минздрав разработал проект приказа, который позволит применять для лечения пациентов в стационарных условиях препараты, предоставленные благотворительными фондами, так, чтобы к медицинским организациям не применялись санкции. (НКРЯ); В этой связи прошу, уважаемые коллеги, в двухнедельный срок определить параметры дополнительной финансовой поддержки субъектов в текущем году, так чтобы я мог учесть это и в Послании Федеральному Собранию. (НКРЯ); В первую очередь с ветеранами и пожилыми людьми, так чтобы они чувствовали себя в хорошем окружении. (НКРЯ)",NA,NA,NA,NA,NA,NA,NA,Аня Д
так_и,следствие,2018,АГ-80,poly,discont,,initial,exclusively,,так и,NA,NA,,NA,,,NA,,postposition,,,финитная,,нет,,,"Реакция ребенка явно говорит о том, что что-то не так — так и зачем вам это продолжать? [Видоизмененный пример из НКРЯ]",Примеры не обнаружены,NA,частица-союз,NA,условные отношения,NA,"Посади свинью за стол, так она и ноги на стол (вариант пословицы); Велю, так и за дворника выйдешь (АГ-80).",NA,NA,результат; умозаключение,NA,NA,NA,NA,Аня Д
также,мереология,2020; 2022; 2024; 2025,Морк; БТС; ЕФР; ШЩ,mono,NA,,initial,predominantly,Он не глуп и хорошо воспитан. Привлекательная внешность также помогает ему добиваться успеха в жизни. (ШЩ),также,NA,NA,,NA,на также конъюнкции и мереологии приведён одинаковый пример - все значения и примеры объединили,,NA,,postposition,,,финитная,,да,Он не глуп и хорошо воспитан. Привлекательная внешность также помогает ему добиваться успеха в жизни. (ШЩ),,"Bing в Skyp'е дает неправильные ссылки, также, почему до сих пор нет работающего переключения режимов: precise, creative или balanced? [Видоизменнный пример из Google]",Примеры не обнаружены,NA,союз; частица; союз,NA; выделительная,"присоединительный: для введения обособленного оборота, имеющего характер примечания; NA; тождественность или близость по значению: в равной мере; равным образом; тоже; вместе с тем; сопоставление",NA,"Все побежали к поезду, и он, также бегом, поспешил на платформу. (Морк); Он был хорошим другом, учился также хорошо. (БТС); Например, жирный и нежирный творог будут считать в одной позиции «творог», также объединят импортные и отечественные сигареты и пиво в категории «пиво» и «сигареты с фильтром». (НКРЯ); Он не глуп и хорошо воспитан. Привлекательная внешность также помогает ему добиваться успеха в жизни. (ШЩ)",NA,NA; союз,аддитивность,конъюнкция,соединение,NA,NA,Аня Д
